Points (mm),meanU (m/s),<u'u'> (m2/s2),<u'v'> (m2/s2),<u'w'> (m2/s2),<v'v'> (m2/s2),<v'w'> (m2/s2),<w'w'> (m2/s2),xLu (m),yLu(m),zLu (m),xLv (m),yLv (m),zLv (m),xLw (m),yLw (m),zLw (m)
1445,14.91234,0.27014,-0.5476,0,0.067535374,0,0.172890558,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1455,14.94841,0.28344,-0.5476,0,0.070859702,0,0.181400836,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1465,14.98005,0.28091,-0.5476,0,0.070226763,0,0.179780513,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1475,14.95636,0.26678,-0.5476,0,0.066695646,0,0.170740853,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1485,14.97111,0.27602,-0.5476,0,0.069004804,0,0.176652299,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1495,14.95361,0.27568,-0.5476,0,0.068921114,0,0.176438053,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1505,14.9365,0.28899,-0.5476,0,0.072246698,0,0.184951547,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1515,14.97202,0.28555,-0.5476,0,0.07138638,0,0.182749134,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1525,14.95956,0.27575,-0.5476,0,0.068936748,0,0.176478074,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1535,14.97417,0.2815,-0.5476,0,0.070374314,0,0.180158244,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1545,14.92717,0.27596,-0.5476,0,0.068989478,0,0.176613064,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1555,14.94362,0.28157,-0.5476,0,0.0703932,0,0.180206592,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1565,14.9664,0.28501,-0.5476,0,0.071253356,0,0.182408592,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1575,14.90136,0.27922,-0.5476,0,0.069804841,0,0.178700393,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1585,14.96264,0.28622,-0.5476,0,0.071554242,0,0.183178861,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1595,14.93968,0.28711,-0.5476,0,0.071777673,0,0.183750844,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1605,14.94023,0.29292,-0.5476,0,0.073230247,0,0.187469431,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1615,14.93468,0.28576,-0.5476,0,0.071438769,0,0.182883249,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1625,14.95166,0.28929,-0.5476,0,0.07232234,0,0.18514519,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1635,14.93315,0.2992,-0.5476,0,0.074800925,0,0.191490369,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1645,14.91668,0.30491,-0.5476,0,0.076228373,0,0.195144634,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
