Points (mm),<u'u'> (m2/s2),<v'v'> (m2/s2),<w'w'> (m2/s2),<u'v'> (m2/s2),<u'w'> (m2/s2),<v'w'> (m2/s2),xLu (m),yLu(m),zLu (m),xLv (m),yLv (m),zLv (m),xLw (m),yLw (m),zLw (m)
1665.00000,0.28431,-0.05295,0.00000,0.19913,0.00000,0.15657,0.31092,0.08395,0.08706,0.06218,0.01865,0.02176,0.14302,0.04353,0.09949
1675.00000,0.28945,-0.06574,0.00000,0.19917,0.00000,0.15885,0.26005,0.07021,0.07281,0.05201,0.01560,0.01820,0.11962,0.03641,0.08322
1685.00000,0.28601,-0.06249,0.00000,0.19722,0.00000,0.15511,0.25815,0.06970,0.07228,0.05163,0.01549,0.01807,0.11875,0.03614,0.08261
1695.00000,0.28626,-0.07222,0.00000,0.20749,0.00000,0.15882,0.25043,0.06762,0.07012,0.05009,0.01503,0.01753,0.11520,0.03506,0.08014
1705.00000,0.29045,-0.07477,0.00000,0.20824,0.00000,0.16202,0.31995,0.08639,0.08959,0.06399,0.01920,0.02240,0.14718,0.04479,0.10239
1715.00000,0.30764,-0.06619,0.00000,0.20773,0.00000,0.16432,0.33727,0.09106,0.09443,0.06745,0.02024,0.02361,0.15514,0.04722,0.10792
1725.00000,0.32217,-0.07418,0.00000,0.21139,0.00000,0.16835,1.98194,0.53512,0.55494,0.39639,0.11892,0.13874,0.91169,0.27747,0.63422
1735.00000,0.31655,-0.08179,0.00000,0.21397,0.00000,0.16676,1.21002,0.32670,0.33880,0.24200,0.07260,0.08470,0.55661,0.16940,0.38721
1745.00000,0.29599,-0.09046,0.00000,0.21793,0.00000,0.16470,0.35320,0.09537,0.09890,0.07064,0.02119,0.02472,0.16247,0.04945,0.11303
1755.00000,0.31327,-0.09807,0.00000,0.21825,0.00000,0.17104,0.28984,0.07826,0.08116,0.05797,0.01739,0.02029,0.13333,0.04058,0.09275
1765.00000,0.31540,-0.08948,0.00000,0.22151,0.00000,0.17275,0.28711,0.07752,0.08039,0.05742,0.01723,0.02010,0.13207,0.04020,0.09188
1775.00000,0.32316,-0.08297,0.00000,0.21223,0.00000,0.16893,0.29204,0.07885,0.08177,0.05841,0.01752,0.02044,0.13434,0.04089,0.09345
1785.00000,0.32599,-0.09581,0.00000,0.21957,0.00000,0.17323,0.26974,0.07283,0.07553,0.05395,0.01618,0.01888,0.12408,0.03776,0.08632
1795.00000,0.32329,-0.08890,0.00000,0.22697,0.00000,0.17429,0.26384,0.07124,0.07388,0.05277,0.01583,0.01847,0.12137,0.03694,0.08443
1805.00000,0.31256,-0.08962,0.00000,0.21712,0.00000,0.17019,0.32662,0.08819,0.09145,0.06532,0.01960,0.02286,0.15024,0.04573,0.10452
